,,,,Location,,
Methods,X,"Arlington, WI","Clay Center, NE","Grant, NE","Lincoln, NE","Macomb, IL"
Bareground,,,,,,
,Weed control,glyphosate,saflufenacil + imazethapyr + pyroxasulfone,,,
Corn ,,,,,,
,Hybrid,,DKC60-67,,,
,Seeding rate,,86487,,,
,Weed control,glyphosate / S-metolachor,"S-metolachlor + trazine + mesotrione, + bicyclopyrone",,,
,Stage 1 cohort,V2-3,,,,
,Stage 2 cohort,V6-7,,,,
Soybean ,,,,,,
,Variety,DSR-1950,AG21X8,,,
,Seeding rate,296400,321237,,,
,Stage 1 cohort,V1-2,,,,
,Stage 2 cohort,V5-6,,,,
,Weed control,glyphosate / S-metolachor,saflufenacil + imazethapyr + pyroxasulfone,,,
Planting day,,May 10 to 20,May 10 to 14,,,
Soil,,,,,,
,Type,,Crete Silt Loam,,,
,Ratio (sand-clay-silt),,58-25-6.5,,,
,pH,6.6,6.5,,,
,Organic matter (%),,3,,,
